11;13;3440607;2557309;10511462
11;14;3131294;2413924;9657372
11;15;3111051;2400445;10948738
11;16;3118678;2387734;10028440
11;17;3096053;2413645;10480312
11;18;3133120;2400933;14121068
11;19;3031901;2444445;10176852
11;20;3013651;2373416;11463538
11;21;3364124;2491238;10409423
11;22;3099650;2410990;10162744
11;23;3200406;2497245;9826179
11;24;3537864;2586013;10677683
11;25;2942564;2367899;8115138


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
12;1;3098661;2465467;10267925
12;2;2975345;2375512;9440795
12;3;3077454;2420699;10359557
12;4;3058609;2396045;8905112
12;5;3054570;2398489;10807519
12;6;2993361;2512540;9450643
12;7;3093257;2389759;9305791
12;8;2911459;2401493;9557499
12;9;3096713;2500038;9410344
12;10;3074457;2396952;9816960
12;11;3087922;2421677;9121201
12;12;3063332;2452128;10112947
12;13;3072434;2377327;9289588
12;14;2983574;2379562;10166445
12;15;3080329;2401353;10960331
12;16;2874447;2393251;9668128
12;17;3135193;2473708;9233646
12;18;3211510;2428102;9523906
12;19;2958170;2428451;10119024
12;20;3203009;2372648;9762553
12;21;3173883;2468190;11259811
12;22;3403172;2573441;10232097
12;23;3465351;2534470;10249347
12;24;3289895;2438229;10080541
12;25;3235785;2421467;10447137


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
13;1;3145532;2385988;9192300
13;2;2990858;2435366;9711080
13;3;3124911;2400375;10014052
13;4;3070695;2456038;8657316
13;5;3122999;2485442;8046833
13;6;3167196;2473848;9518947
13;7;3193349;2407290;10679290
13;8;3196681;2376978;10603023
13;9;3212056;2432013;10146401
13;10;3335219;2449822;12866859
13;11;3308645;2451708;10026623
13;12;3288012;2490400;10009792
13;13;3169857;2431175;8606052
13;14;2978979;2395835;9302020
13;15;3261219;2570718;9477741
13;16;3161756;2409594;9546814
13;17;3046226;2430616;9282814
13;18;3171727;2510654;11034364
13;19;3102483;2386686;11005799
13;20;3278221;2404565;9395049
13;21;3385638;2501994;10026833
13;22;3449549;2519035;9771563
13;23;3442983;2495988;9757805
13;24;3349562;2608432;9001074
13;25;3232558;2419301;9597519


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
14;1;3225787;2525251;9616166
14;2;3102054;2429080;10674960
14;3;3250029;2576584;9339804
14;4;3118306;2465816;11628713
14;5;3246351;2385638;11942579
14;6;3201077;2515613;9867036
14;7;3122899;2454572;9347627
14;8;3264227;2395486;10331481
14;9;3412710;2551512;9618262
14;10;3318798;2559962;9894763
14;11;3360540;2548927;10164909
14;12;3412407;2470146;10551760
14;13;3259356;2498641;10273513
14;14;3177754;2433410;9616306
14;15;3128112;2399257;8701805
14;16;3074074;2398419;10397969
14;17;3117364;2408476;10162465
14;18;3195351;2489912;11032547
14;19;3175151;2436343;9559106
14;20;3085054;2454222;8245602
14;21;3239580;2461626;9498204
14;22;3401164;2445143;10434008
14;23;3497844;2532235;10740820
14;24;3409355;2481670;10213449
14;25;3451005;2464839;12326497


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
15;1;3339854;2586641;9583132
15;2;3282943;2401143;10292300
15;3;3137612;2435226;11021163
15;4;3111729;2416718;9600732
15;5;3139663;2419232;10005671
15;6;3217106;2576096;9617563
15;7;3158510;2502483;10094300
15;8;3310123;2412178;10796414
15;9;3294335;2460718;10555462
15;10;3425210;2567156;9834490
15;11;3354998;2555632;8677709
15;12;3470866;2507791;9977804
15;13;3252468;2442978;9549328
15;14;3211534;2423492;8849797
15;15;3175857;2463232;10054350
15;16;3170881;2436064;13693290
15;17;3071218;2476292;9842242
15;18;3114355;2444445;9165899
15;19;3123001;2384311;9108001
15;20;3466875;2493194;12174522
15;21;3137623;2401911;9160871
15;22;3360781;2492705;10681107
15;23;3258372;2442420;9669036
15;24;3463389;2536705;10286294
15;25;3406134;2548368;10610077


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
16;1;3300001;2426845;9935900
16;2;3354831;2484534;9617144
16;3;3150956;2462603;9243633
16;4;3173612;2468260;10789639
16;5;3151197;2518267;10841113
16;6;3117741;2404844;12607817
16;7;3156065;2416159;10072859
16;8;3252130;2472801;10259265
16;9;3313527;2507372;8048090
16;10;3649989;2649918;10199550
16;11;3469142;2596978;11826573
16;12;3448925;2488026;9391068
16;13;3388561;2501784;10120839
16;14;3231652;2446121;10704294
16;15;3274695;2458972;12394033
16;16;3078792;2477759;10633964
16;17;3160804;2471473;9743976
16;18;3211043;2510236;9928077
16;19;3143472;2437042;11800243
16;20;3217501;2507861;10112319
16;21;3339331;2465118;9905309
16;22;3313156;2426007;9507493
